id,document,keyword,question,expected,expected_chunk_id
CQ-001,员工请假管理制度.pdf,假期类型,员工在系统里填写假期类型时有什么明确要求？,假期类型为必填字段，必须从系统字典中选择，不得用备注替代。,a5960044bc6d1354c1c6
CQ-002,员工请假管理制度.pdf,材料不完整,请假材料不完整时能否直接进入最终审批？,可以保存草稿或提交说明，但审批人和归口部门可以退回补充材料；缺少关键证明时不得进入最终处理。,b3db64d7aa3507f5e074
CQ-003,员工请假管理制度.pdf,超过时限,请假申请超过规定时限后还能处理吗，需要补充什么？,仍可处理，但必须补充逾期原因、影响说明和主管确认，再由归口部门根据风险决定是否接受。,b79e9b40c68f25fafceb
CQ-004,员工请假管理制度.pdf,假期类型填错,审批完成后发现假期类型填错，应该如何更正？,应联系 HR 更正，不能直接删除考勤记录。,26c39c7778bdec8763db
CQ-005,员工请假管理制度.pdf,审批路径,员工不知道请假该找谁审批时应该怎么办？,先查看审批规则表；仍无法判断时联系直属主管或归口部门确认审批链路。,3d98a8a89b056844261b
CQ-006,差旅报销管理制度.md,住宿超标准,住宿费用超标准时由谁审批，最迟应在什么时候完成？,由部门负责人和财务负责人审批，时限为入住前；未事前审批的超标部分原则上自理。,6418e475a8593fa98ee8
CQ-007,差旅报销管理制度.md,票据遗失,差旅票据遗失后需要提交哪些材料？,应提交遗失说明、支付记录、行程证明和主管确认。,b59a1a051f898b33d6f6
CQ-008,差旅报销管理制度.md,多个场景,差旅报销问题同时包含多个场景时应该怎样处理？,应拆分为多个单据或多个问题分别处理。,b59a1a051f898b33d6f6
CQ-009,SAConv.pdf,Table 1,SAConv 论文 Table 1 中使用 ResNet-50 时，DetectoRS 和 HTC 的 box AP 分别是多少？,DetectoRS 的 box AP 为 51.3，HTC 的 box AP 为 43.6。,24aa871c4c5c3f63c343
CQ-010,服务器部署架构示意图.png,运维关注,服务器部署架构示意图列出的运维关注项有哪些？,包括健康检查、错误率、响应时间、队列积压、数据库连接、灰度观察和快速回滚。,dc16569d339f1707ac71
